"det_pk","event_id","det_id","class_id","class_name","confidence","x1","y1","x2","y2"
"2273","de7dd9b5-a378-423a-ac27-065aa02f6405","c3a6cbef-423a-4281-a9a1-9fb2f6df1e1b",28,"suitcase","0.757","246","146","320","209"
"2274","de7dd9b5-a378-423a-ac27-065aa02f6405","1b2a37ab-4a4f-4cd3-b952-08d9d330d957",28,"suitcase","0.815","245","146","320","209"
"2275","de7dd9b5-a378-423a-ac27-065aa02f6405","d3db74f3-f7d1-4d15-9ff4-e09489b00c8b",28,"suitcase","0.715","237","145","320","208"
"2276","de7dd9b5-a378-423a-ac27-065aa02f6405","840f3ee0-12cd-4487-b614-659ee655cd79",28,"suitcase","0.809","224","144","320","206"
"2277","de7dd9b5-a378-423a-ac27-065aa02f6405","8eb05b8d-b7fd-4046-a542-04ffe13c23fe",28,"suitcase","0.69","204","143","320","202"
"2278","de7dd9b5-a378-423a-ac27-065aa02f6405","81a7ae09-f7d1-406d-8e88-087e63d13ff0",14,"bird","0.529","229","77","257","126"
"2279","de7dd9b5-a378-423a-ac27-065aa02f6405","50fbbb51-4f7a-4cc5-8fb2-d2cec5858119",59,"bed","0.559","0","146","320","240"
"2280","de7dd9b5-a378-423a-ac27-065aa02f6405","f465635f-3c89-4910-a3cc-262a5a29cf2f",59,"bed","0.624","0","146","320","239"
"2281","de7dd9b5-a378-423a-ac27-065aa02f6405","3b3378e3-a04c-47fa-b880-34775af00f2e",59,"bed","0.568","1","134","311","240"
"2282","de7dd9b5-a378-423a-ac27-065aa02f6405","cd7d45d3-26ea-42ed-b55d-a7155df07f22",28,"suitcase","0.58","220","62","319","98"
"2283","de7dd9b5-a378-423a-ac27-065aa02f6405","ac1edd1d-e586-44a1-81d8-bc79bbeb876f",59,"bed","0.622","1","151","294","239"
"2284","de7dd9b5-a378-423a-ac27-065aa02f6405","30d5bdad-37f9-4cfe-9cca-7eb01086c311",59,"bed","0.561","0","148","320","239"
"2285","de7dd9b5-a378-423a-ac27-065aa02f6405","bf32f047-e0b1-4345-bbef-033365070579",59,"bed","0.632","0","146","318","239"
"2286","de7dd9b5-a378-423a-ac27-065aa02f6405","d06a51a7-c6a7-4831-9e55-572b58e9035b",59,"bed","0.627","0","146","318","239"
"2287","de7dd9b5-a378-423a-ac27-065aa02f6405","c515286c-4288-400b-b72c-d3ce7f9a3ac2",59,"bed","0.665","0","151","320","240"
"2288","de7dd9b5-a378-423a-ac27-065aa02f6405","c54aebb8-4e25-4a0d-8a0d-349b0a50b4c9",59,"bed","0.704","0","149","318","240"
"2289","de7dd9b5-a378-423a-ac27-065aa02f6405","b3016827-1ea6-4ad8-ad3d-736d7d28b594",59,"bed","0.663","0","149","318","240"
"2290","de7dd9b5-a378-423a-ac27-065aa02f6405","5529d599-025a-4502-9547-d3bb4231ab73",59,"bed","0.603","0","149","318","240"
"2291","de7dd9b5-a378-423a-ac27-065aa02f6405","0e58b931-d412-4cfd-b4df-ff99089f57a9",59,"bed","0.581","0","150","318","240"
"2292","de7dd9b5-a378-423a-ac27-065aa02f6405","e40328d8-870c-486d-b55c-0a0aa84fcb1a",59,"bed","0.581","1","145","315","240"
"2293","de7dd9b5-a378-423a-ac27-065aa02f6405","2d559a48-73d6-455a-891a-409d46b25043",59,"bed","0.581","0","141","316","240"
"2294","de7dd9b5-a378-423a-ac27-065aa02f6405","2ba04013-eda6-4c90-856f-31bfff6a595c",59,"bed","0.509","1","141","317","240"
"2295","de7dd9b5-a378-423a-ac27-065aa02f6405","5ac611bd-a028-401a-b4ba-5b3493e3f8a8",59,"bed","0.603","1","138","306","240"
"2296","de7dd9b5-a378-423a-ac27-065aa02f6405","ed5175b8-f538-4803-818f-76fea9d09f5e",28,"suitcase","0.591","269","0","320","47"
"2297","de7dd9b5-a378-423a-ac27-065aa02f6405","e6e02ce5-7e15-48d2-be28-db051f7cd8d9",28,"suitcase","0.51","2","0","319","90"
"2298","de7dd9b5-a378-423a-ac27-065aa02f6405","7d20c975-ffa3-49f2-afe2-7aa5c96d5fb2",59,"bed","0.547","0","170","320","240"
"2299","de7dd9b5-a378-423a-ac27-065aa02f6405","d2417d28-a62d-4413-b2b3-3cbc694f6f39",32,"sports ball","0.662","291","128","320","155"
"2300","de7dd9b5-a378-423a-ac27-065aa02f6405","d55ea75b-3647-4a1c-bc25-aa299828b452",32,"sports ball","0.828","254","127","281","152"
"2301","de7dd9b5-a378-423a-ac27-065aa02f6405","de828e85-cfc7-4aa1-afab-08861d43f0cc",32,"sports ball","0.581","224","127","250","152"
"2302","de7dd9b5-a378-423a-ac27-065aa02f6405","4a09595a-2e09-4724-83b4-9b9d8f096436",32,"sports ball","0.77","208","127","232","151"
"2303","de7dd9b5-a378-423a-ac27-065aa02f6405","146f2e1d-cacb-4b91-a508-42af2340e66c",32,"sports ball","0.823","208","127","232","151"
"2304","de7dd9b5-a378-423a-ac27-065aa02f6405","776a331d-e1f0-4d01-b8c7-797f8e7ce20b",32,"sports ball","0.833","208","127","232","151"
"2305","de7dd9b5-a378-423a-ac27-065aa02f6405","a0f41338-05ec-4e2d-a06c-dd6822f6f12a",32,"sports ball","0.83","208","127","232","151"
